STE_CODE21,STE_NAME21,SAL_CODE21,SAL_NAME21,area,bf_area,bf_area_pct,cent_lat,cent_lon
2,Victoria,22753,Wesburn,41.258394455087874,41.258394455087284,0.9999999999999857,-37.77343917264645,145.65303616958352
2,Victoria,22754,West Bendigo,1.9568998730568472,1.95689987305676,0.9999999999999554,-36.75309995341635,144.24709638600592
2,Victoria,22755,West Creek,20.16601384575304,20.166013845752488,0.9999999999999727,-38.55242954597488,145.6104813653275
2,Victoria,22756,West Footscray,3.745990833901353,,0,-37.80051932875045,144.87077198828115
2,Victoria,22757,West Melbourne,6.582188653917169,,0,-37.809328481255285,144.92519805985953
2,Victoria,22758,West Wodonga,44.0547179384249,33.956382386229826,0.770777432593951,-36.110982272037624,146.821808348826
2,Victoria,22759,Westbury (Vic.),18.505084421554894,18.505084416727186,0.9999999997391145,-38.1418104297748,146.2212493962054
2,Victoria,22760,Westby,20.577455588417504,20.577455588417674,1.0000000000000082,-35.63970269738453,143.96828213966108
2,Victoria,22761,Westmeadows,4.84433527559349,1.9015363499624067,0.3925278168797772,-37.675028703895705,144.8935319967688
2,Victoria,22762,Westmere,85.92336979404763,85.92336979404773,1.000000000000001,-37.676560620076884,142.96720893255912
2,Victoria,22763,Whanregarwen,73.78348660355144,73.78348660355104,0.9999999999999946,-37.217532183770274,145.62091266672357
2,Victoria,22764,Wharparilla,53.17137705972499,53.09448681119418,0.9985539165471595,-36.0934833358597,144.63073105761174
2,Victoria,22765,Wheatsheaf,27.59229399357456,27.59229399357458,1.0000000000000007,-37.33899033525304,144.24339861455653
2,Victoria,22766,Wheelers Hill,10.423125570262677,1.8216212576677533,0.17476727545764817,-37.907579479631835,145.18689463085522
2,Victoria,22767,Whipstick,22.39774253697045,22.397742536970572,1.0000000000000053,-36.65033520240391,144.2687063434468
2,Victoria,22768,Whirily,140.32865530624733,140.3286553062471,0.9999999999999983,-35.91995285771356,142.9928049677931
2,Victoria,22769,White Hills (Vic.),5.762728662213478,4.434862405264247,0.7695768211930363,-36.72490031298414,144.3017711490433
2,Victoria,22770,Whiteheads Creek,139.21842900289664,139.21842898004536,0.9999999998358602,-37.05755963868829,145.26486775561173
2,Victoria,22771,Whitelaw,4.265269227557859,4.265269227557921,1.0000000000000147,-38.434668081053246,145.77601094066762
2,Victoria,22772,Whitfield (Vic.),57.629751993950805,57.62975199395104,1.000000000000004,-36.75269120788675,146.41343181602926
2,Victoria,22773,Whitlands,62.89818384836066,62.89818384836107,1.0000000000000067,-36.822487522894285,146.34519865233446
2,Victoria,22774,Whittington,1.5605866929401144,0.04129158779570041,0.026459015691020587,-38.17710044803828,144.3920521351738
2,Victoria,22775,Whittlesea,106.22648933297243,103.66842279451762,0.9759187510147641,-37.465528738672155,145.13118453954118
2,Victoria,22776,Whoorel,18.811262844134877,18.811262844134898,1.000000000000001,-38.37031823937817,143.83596841817183
2,Victoria,22777,Whorouly,49.08649047918327,49.08649047918352,1.000000000000005,-36.51681561319242,146.57824003506153
2,Victoria,22778,Whorouly East,19.201559047808566,19.201558362432433,0.9999999643062247,-36.54514790591938,146.63670753703187
2,Victoria,22779,Whorouly South,83.67223800232291,83.67223800232371,1.0000000000000095,-36.59370311542714,146.5967242924431
