fid,STE_CODE21,STE_NAME21,SAL_CODE21,SAL_NAME21,area,bf_area,bf_area_pct
"9175","1",New South Wales,"11609",Gerogery,168.820505866327,42.531940495525,0.251935866897604
"9176","1",New South Wales,"11610",Gerringong,10.8810652068049,8.13005862918285,0.747174883585702
"9177","1",New South Wales,"11611",Gerroa,9.01926947232022,7.85142893386653,0.870517169706733
"9178","1",New South Wales,"11612",Geurie,190.406280448497,36.4654599470086,0.191513955637993
"9179","1",New South Wales,"11613",Ghinni Ghi,63.1019791120649,62.964449621165,0.997820520166956
"9180","1",New South Wales,"11614",Ghinni Ghinni,6.95617427061901,,0
"9181","1",New South Wales,"11615",Ghoolendaadi,201.658739634352,0.614625651763902,0.00304785030828985
"9182","1",New South Wales,"11616",Giants Creek,147.926679062274,147.926679062274,1
"9183","1",New South Wales,"11617",Gibberagee,156.606977806911,154.764506512241,0.988235062572107
"9184","1",New South Wales,"11618",Gibraltar Range,523.851948498689,523.851946869509,0.99999999689
"9185","1",New South Wales,"11619",Gidginbung,136.803021715286,2.11455006993707,0.0154568959327366
"9186","1",New South Wales,"11620",Gidley,20.9558147088489,20.9558147088484,0.999999999999974
"9187","1",New South Wales,"11621",Gilead,28.0969343237858,27.6882648114897,0.985455014145432
"9188","1",New South Wales,"11622",Gilgai,86.4370583806619,75.6104382006372,0.874745619727766
"9189","1",New South Wales,"11623",Gilgandra,647.98693846621,54.0868552263064,0.0834690516360259
"9190","1",New South Wales,"11624",Gilgooma,368.434834673073,30.5103602058008,0.0828107370272789
"9191","1",New South Wales,"11625",Gilgunnia,361.422834634416,32.7817862381387,0.0907020340076131
"9192","1",New South Wales,"11626",Gillenbah,292.808522307386,44.3083099637897,0.151321790822999
"9193","1",New South Wales,"11627",Gilletts Ridge,6.93686291775097,,0
"9194","1",New South Wales,"11628",Gillieston Heights,11.8418618149852,8.25282510457115,0.696919558217412
"9195","1",New South Wales,"11629",Gilmandyke,54.9793441060429,54.9793441060417,0.999999999999979
"9196","1",New South Wales,"11630",Gilmore (NSW),95.5444516246951,60.2436390657971,0.630529957955467
"9197","1",New South Wales,"11631",Gin Gin (NSW),566.873746674108,131.208511910666,0.231459849182426
"9198","1",New South Wales,"11632",Gineroi,172.979403029354,40.0373012013029,0.231457043440649
"9199","1",New South Wales,"11633",Ginghi,53.4819989491256,53.4316579645302,0.999058730309551
"9200","1",New South Wales,"11634",Gingkin,140.817335290528,140.817335290529,1.00000000000001
"9201","1",New South Wales,"11635",Girards Hill,0.73711139496601,0.202864312832139,0.27521527169105
"9202","1",New South Wales,"11636",Girilambone,1701.56559280546,1701.56559280546,1
"9203","1",New South Wales,"11637",Giro,182.640583242608,132.316097868022,0.724461647673682
"9204","1",New South Wales,"11638",Girral,404.664107015864,28.2760753208158,0.0698754221849166
"9205","1",New South Wales,"11639",Girralong,40.6929949890982,38.9007220814576,0.955956230104941
"9206","1",New South Wales,"11640",Girraween (NSW),2.32159195410782,,0
"9207","1",New South Wales,"11641",Girvan,66.5650849926281,56.0684357745993,0.842309985494778
"9208","1",New South Wales,"11642",Gladesville,3.51578811534029,0.130611066026074,0.0371498684622616
"9209","1",New South Wales,"11643",Gladstone (NSW),6.66883659057617,1.3462902846838,0.201877833771825
"9210","1",New South Wales,"11644",Glanmire (NSW),46.8794953104426,9.97825259074515,0.212848976395069
"9211","1",New South Wales,"11645",Glebe (NSW),1.69245528181102,,0
"9212","1",New South Wales,"11646",Gledswood Hills,5.81629103983904,2.06878585202096,0.355688158974626
"9213","1",New South Wales,"11647",Glen Alice,140.295556467581,140.295556467578,0.999999999999977
"9214","1",New South Wales,"11648",Glen Allen,149.017292664515,149.017292664508,0.999999999999955
"9215","1",New South Wales,"11649",Glen Alpine,5.37426128125301,2.79239515281488,0.519586787221449
"9216","1",New South Wales,"11650",Glen Davis,358.998071582888,358.998071582886,0.999999999999995
"9217","1",New South Wales,"11651",Glen Elgin,312.309845665227,312.309845665226,0.999999999999999
"9218","1",New South Wales,"11652",Glen Fergus,59.4156987969917,59.4156987969926,1.00000000000002
"9219","1",New South Wales,"11653",Glen Innes,199.149733038878,191.900786485359,0.963600520859831
"9220","1",New South Wales,"11654",Glen Martin,69.5362004227916,51.9700449631754,0.747381143162683
"9221","1",New South Wales,"11655",Glen Nevis,113.704250412871,113.704250409295,0.99999999996855
"9222","1",New South Wales,"11656",Glen Oak,44.7215553892091,44.2327075426889,0.989069077712843
